,F,M,T,X,SLB,SLV,KGC,KMI,GGB,OXY,CCL,PBR,PCG,LUMN,ITUB,TME,CLF,VALE,PLTR,PLUG,FCEL,HAL,SIRI,COTY,AR,BB,GOLD,BP,ET,MRO,SOFI,CDEV,RRC,NLY,NOK,SPCE
F,1.0,0.7262695991488702,0.6451518018704038,0.7277901190919553,0.8138643793308047,0.38382508969689816,0.46238448524500686,0.7790847201316143,0.6770093487307227,0.7596072724203872,0.7506877125841898,0.6068422324599594,0.34083321190201116,0.4913777810361278,0.5813288860579677,0.27688360731169176,0.7630199436542912,0.5871278510097435,0.3294419727942792,0.31906111102103335,0.2990216875084467,0.8108804211447638,0.25202975962835017,0.6646216978405939,0.5053969147531258,0.37678316247897325,0.3628678949422532,0.6930236767945128,0.7946721602429859,0.775399505481506,0.46638204048546933,0.7412801359166026,0.4601230684076286,0.6725323687787395,0.45335783009868036,0.08570095564698774
M,0.7262695991488702,1.0,0.4453319869159155,0.7670252247672985,0.7806111975780996,0.030152763432468647,0.10238302455012072,0.691704765291648,0.5862791541660388,0.7234148955005334,0.7830540624928848,0.4600394953802333,0.28304856721648997,0.47968611155912194,0.5034852579858481,0.2685592464908279,0.6692838328258603,0.44609218346696117,0.3849688528820663,0.3790395434522655,0.47225852800245743,0.8013008856413408,0.08348864920275073,0.67012796955003,0.6974144445148641,0.39143956329165247,0.07272333261728509,0.6657421464356668,0.72169440915126,0.7754590718304415,0.456936181831019,0.7097184325344063,0.5438413030850141,0.68444738367861,0.24297555501190898,0.17142516975037433
T,0.6451518018704038,0.4453319869159155,1.0,0.49075866173617294,0.5690832440840891,0.32779981099081323,0.48029471377880023,0.5974079920662739,0.513154953236433,0.5172231021010387,0.5087749194051557,0.31074783623673646,0.4782149671389759,0.45117648886371264,0.3311079460217293,0.17970616337599005,0.5201725910964212,0.39314942093140753,0.00286450674420051,0.11958370092422553,-0.028711804157158648,0.524201026532436,0.35431625205811396,0.3232476288348815,0.1863307702949513,0.1192694530578839,0.3333646606613026,0.4555664855365232,0.5689652413348955,0.4465086418164713,0.2226028164267271,0.3479584773485849,-0.0016246495269667956,0.546515834313558,0.25987532722495443,-0.23289589945740796
X,0.7277901190919553,0.7670252247672985,0.49075866173617294,1.0,0.7466204947725176,0.2668812775895411,0.33631819507068017,0.6520030905068068,0.7191533645863101,0.6939089945935167,0.6116466057812472,0.40753879734992454,0.2687370034067415,0.37266378097823155,0.4246175846189727,0.38808560479473975,0.9186055394280354,0.5083520909514931,0.27719262008299983,0.365015848586816,0.41924370233149105,0.7439601279313911,-0.007410754701149484,0.5341408564461756,0.6303841857798184,0.2387876982617259,0.282534189681519,0.6286661654592847,0.7007498381511438,0.6871940393999028,0.5044971118896905,0.6965492199357664,0.5090621297464663,0.6007859480036308,0.2764427871095977,0.04431270327757466
SLB,0.8138643793308047,0.7806111975780996,0.5690832440840891,0.7466204947725176,1.0,0.264791067050943,0.3168359114102988,0.8393029962247541,0.5878655885519336,0.9123619705424154,0.8159006133128974,0.5099579904988305,0.30651683704786836,0.5273093698603343,0.4983023296713627,0.18360729857015565,0.7570167183881392,0.5801872564872764,0.17151510094610511,0.27065460989925305,0.24126810344453392,0.938226521844751,0.2093484308079687,0.6841439682439875,0.7267178243588277,0.308632939469551,0.24282873316420003,0.8247810122989641,0.8006972559008567,0.8593249638195062,0.3799897513233657,0.8421006905402355,0.6477064406437806,0.6231414939923763,0.30008459875886273,0.10743781684183426
SLV,0.38382508969689816,0.030152763432468647,0.32779981099081323,0.2668812775895411,0.264791067050943,1.0,0.8220498720177678,0.32569333763951347,0.4376792026325928,0.3496790435672661,0.15616647021922028,0.24610450991923172,0.07924259317886335,0.003443055243917572,0.16562969285557733,0.14984419751813766,0.4007078449438108,0.38741824533614694,0.01862969114184514,-0.12829560776970841,-0.31845776245645513,0.2043170907106361,-0.05568286799562963,0.08214376710769018,0.0881440955552762,0.0546810229587373,0.682059089795131,0.3670089093156967,0.28210293205496056,0.24152217681371885,0.14570263783604492,0.1320613570465686,0.24400022114921777,0.17794404658524177,0.3673438452585294,-0.07508474215856374
KGC,0.46238448524500686,0.10238302455012072,0.48029471377880023,0.33631819507068017,0.3168359114102988,0.8220498720177678,1.0,0.41355406862219934,0.4723047031822867,0.3262571281378405,0.18863984341510057,0.152528344475632,0.08124096760248924,0.11970926775035486,0.24094741492075858,0.2670393038990003,0.4668051392118674,0.40814656804655164,0.0788047332455952,-0.037350153847511336,-0.2360741228973308,0.2673953675260169,0.0580832209989501,0.13350530980848088,0.06872250294370917,0.09349455734382935,0.9156839100859483,0.37524117988455336,0.3784733910555442,0.19221236631343258,0.19067007311036815,0.09424682867160612,0.1344815594551739,0.21485459738710475,0.6403741445669816,-0.11503978995922254
KMI,0.7790847201316143,0.691704765291648,0.5974079920662739,0.6520030905068068,0.8393029962247541,0.32569333763951347,0.41355406862219934,1.0,0.5192509499615386,0.7649447624149484,0.7527049072758445,0.4292857053432222,0.3671693188601624,0.4882038835785554,0.4403914056095527,0.17718666127251526,0.6893541813420061,0.6427642762206434,0.2966829519872587,0.2804867605423943,0.2892043100998782,0.7881836119461598,0.26052950663406477,0.6456217258028798,0.6558618426426329,0.4047571120002491,0.42848792051189555,0.7323488804763397,0.802500761099803,0.7375063675921932,0.34898069617359123,0.7004819020290131,0.5768105176685712,0.6841839341612468,0.34489078490571473,0.170019019484249
GGB,0.6770093487307227,0.5862791541660388,0.513154953236433,0.7191533645863101,0.5878655885519336,0.4376792026325928,0.4723047031822867,0.5192509499615386,1.0,0.566458901616364,0.553095775443723,0.4210063313935238,0.22856275778207696,0.21856529091149846,0.5962995142646573,0.3638861896260785,0.7202717828563588,0.7845438443345458,0.24049188938467342,0.23689660425882728,0.15946967158641492,0.5216115263258101,0.015573243774282052,0.3258094119270599,0.4334254794564474,0.14473691375738923,0.4010239416667,0.5129899342683706,0.6624229580971864,0.45807321887254976,0.5044458826059414,0.49814749574623307,0.3517241436248189,0.4031180853964242,0.4401796955941843,-0.07764426804346602
OXY,0.7596072724203872,0.7234148955005334,0.5172231021010387,0.6939089945935167,0.9123619705424154,0.3496790435672661,0.3262571281378405,0.7649447624149484,0.566458901616364,1.0,0.817010534936845,0.5660702497887581,0.3183575696538357,0.4068152116777752,0.40107867280064646,0.3947594981171512,0.709673891720384,0.5364098233740613,0.2627337091766145,0.3746896848908126,0.28030442858006344,0.8804889169298209,0.1628413164165741,0.6237927807740923,0.7277802627308146,0.44475275871403375,0.24630570726822534,0.7843674704900518,0.7595783592722314,0.8789844991603656,0.48702990254332035,0.8208900484155165,0.6853118406524574,0.5555958532821457,0.3716707413737326,0.1692106864778891
CCL,0.7506877125841898,0.7830540624928848,0.5087749194051557,0.6116466057812472,0.8159006133128974,0.15616647021922028,0.18863984341510057,0.7527049072758445,0.553095775443723,0.817010534936845,1.0,0.6687132898776253,0.33902997525396095,0.31274562158348773,0.5187782419019328,0.2497559091679138,0.6114297648398753,0.5152448582617637,0.34571584214050627,0.4007003736343347,0.3541576604732132,0.819647720635606,0.3003262319983959,0.7561599374165152,0.640662491423777,0.4221560683009126,0.12476883696518332,0.6821115325455503,0.7781868841995783,0.8274790676762795,0.5284239160465961,0.7040982783002593,0.5046833620190226,0.679616402059464,0.2029129513187013,0.17059382735304782
PBR,0.6068422324599594,0.4600394953802333,0.31074783623673646,0.40753879734992454,0.5099579904988305,0.24610450991923172,0.152528344475632,0.4292857053432222,0.4210063313935238,0.5660702497887581,0.6687132898776253,1.0,0.10597297752278713,0.24537374144332508,0.592765546393316,0.28096511522257295,0.42145599273205075,0.38999290042429163,0.28113167568348196,0.23643053419037838,0.1795890364698001,0.5640117098027657,0.17905966145605745,0.659589509798429,0.42250465375553664,0.3469320357730117,0.017506447903392758,0.48306122483274644,0.44229003885558926,0.7422784732033922,0.3242524622169674,0.5189936169068988,0.4386101432662526,0.3333401703709668,0.2085532951912044,-0.06678369754073654
PCG,0.34083321190201116,0.28304856721648997,0.4782149671389759,0.2687370034067415,0.30651683704786836,0.07924259317886335,0.08124096760248924,0.3671693188601624,0.22856275778207696,0.3183575696538357,0.33902997525396095,0.10597297752278713,1.0,0.39859552728130804,0.2164450516691287,0.22603372311398068,0.3936957828943101,0.3441456371526146,0.11456750397515582,0.3193426289629529,0.2754564770729603,0.37982841689470526,0.04092947098745501,0.1857889106442153,0.0825927122147019,0.3246014186729288,0.025081417677149446,0.25851308380416727,0.4787994584231186,0.3077657740221605,0.11539181097190694,0.4188556628774229,-0.03123025723605839,0.3365297238812652,-0.004696409549825476,-0.08146601035469223
LUMN,0.4913777810361278,0.47968611155912194,0.45117648886371264,0.37266378097823155,0.5273093698603343,0.003443055243917572,0.11970926775035486,0.4882038835785554,0.21856529091149846,0.4068152116777752,0.31274562158348773,0.24537374144332508,0.39859552728130804,1.0,0.1952304540988231,0.06505900108967433,0.3386163220487538,0.11684414270765371,-0.04126229505538663,-0.010804195760228502,0.09009208063233425,0.5385136422639696,0.09909540637243465,0.3953642259225185,0.38059771375869933,0.14939356193715755,0.09003340132879895,0.46460175295579464,0.4734690156480562,0.5032175585032088,-0.1600401513489156,0.5746776853200012,0.32130411254636343,0.3921393530288161,0.2732717718485387,-0.16443350928412928
ITUB,0.5813288860579677,0.5034852579858481,0.3311079460217293,0.4246175846189727,0.4983023296713627,0.16562969285557733,0.24094741492075858,0.4403914056095527,0.5962995142646573,0.40107867280064646,0.5187782419019328,0.592765546393316,0.2164450516691287,0.1952304540988231,1.0,0.3967171976131853,0.5175140247788056,0.6135221914664539,0.24428860097673058,0.1905299347301198,0.21252542208318223,0.5462249299285726,0.13540207328399617,0.4909848186890226,0.289621717767551,0.23670835849201308,0.18703826995495307,0.43075220747529913,0.4736280261811871,0.4332914309959748,0.36222180803926035,0.3675124135357381,0.24506359384142812,0.3107349163583965,0.27800161559710684,0.031587565693459455
TME,0.27688360731169176,0.2685592464908279,0.17970616337599005,0.38808560479473975,0.18360729857015565,0.14984419751813766,0.2670393038990003,0.17718666127251526,0.3638861896260785,0.3947594981171512,0.2497559091679138,0.28096511522257295,0.22603372311398068,0.06505900108967433,0.3967171976131853,1.0,0.3900322754137039,0.2970497476531045,0.27890815389777573,0.42148739424540005,0.3329989296109568,0.31388808409824853,-0.043257215043819526,0.18546045530819122,0.2127954212883335,0.4127270039200743,0.21286347017932003,0.16815853697181407,0.27598269120476737,0.2615612940244791,0.5621515780546456,0.2181357507147196,0.211676321547787,0.07328926470844692,0.3973016554839485,0.12435450542924029
CLF,0.7630199436542912,0.6692838328258603,0.5201725910964212,0.9186055394280354,0.7570167183881392,0.4007078449438108,0.4668051392118674,0.6893541813420061,0.7202717828563588,0.709673891720384,0.6114297648398753,0.42145599273205075,0.3936957828943101,0.3386163220487538,0.5175140247788056,0.3900322754137039,1.0,0.6091869027586957,0.31081950654874946,0.40635773860911273,0.41107721874349806,0.7482047228648064,-0.003696983076160453,0.4999617464770988,0.5455824781122012,0.3246858070880056,0.39209925105386845,0.6568803675720825,0.6994732645412881,0.681473870143142,0.48207174986575996,0.6984909659256653,0.4915359957088175,0.5593287541541418,0.34932989635985395,0.10114280769451235
VALE,0.5871278510097435,0.44609218346696117,0.39314942093140753,0.5083520909514931,0.5801872564872764,0.38741824533614694,0.40814656804655164,0.6427642762206434,0.7845438443345458,0.5364098233740613,0.5152448582617637,0.38999290042429163,0.3441456371526146,0.11684414270765371,0.6135221914664539,0.2970497476531045,0.6091869027586957,1.0,0.25223662643410133,0.28013328554048544,0.1431929115551077,0.5209740264974303,0.07577125990453586,0.3542810237180019,0.47080793056704945,0.2676682522278706,0.3930865895744827,0.5531964023131303,0.6273821616116031,0.43166186827917463,0.4719907198196857,0.4789947104196515,0.3608999121629707,0.22924226297632191,0.3364053188671695,0.00813971615469663
PLTR,0.3294419727942792,0.3849688528820663,0.00286450674420051,0.27719262008299983,0.17151510094610511,0.01862969114184514,0.0788047332455952,0.2966829519872587,0.24049188938467342,0.2627337091766145,0.34571584214050627,0.28113167568348196,0.11456750397515582,-0.04126229505538663,0.24428860097673058,0.27890815389777573,0.31081950654874946,0.25223662643410133,1.0,0.7341228524170158,0.6931353404504289,0.1804911777725887,-0.2347346130023508,0.2730451873555945,0.23486520399334268,0.758789758281534,0.1276819353505678,0.15513925097358974,0.2576670972092132,0.26234611281905634,0.4476501809001924,0.15213716086302334,0.26113451929201253,0.3965978696514234,0.13947226035348312,0.3983154358760749
PLUG,0.31906111102103335,0.3790395434522655,0.11958370092422553,0.365015848586816,0.27065460989925305,-0.12829560776970841,-0.037350153847511336,0.2804867605423943,0.23689660425882728,0.3746896848908126,0.4007003736343347,0.23643053419037838,0.3193426289629529,-0.010804195760228502,0.1905299347301198,0.42148739424540005,0.40635773860911273,0.28013328554048544,0.7341228524170158,1.0,0.8388847391499554,0.28965390611945435,-0.2215743534968018,0.2926998150491352,0.328034010718521,0.6941837300944194,-0.08762769408147449,0.1554713803244285,0.38658478257988654,0.36703433761780996,0.5687557118570977,0.37592329035846084,0.303225764177579,0.2504642844697658,0.056008779459124865,0.33123281551192607
FCEL,0.2990216875084467,0.47225852800245743,-0.028711804157158648,0.41924370233149105,0.24126810344453392,-0.31845776245645513,-0.2360741228973308,0.2892043100998782,0.15946967158641492,0.28030442858006344,0.3541576604732132,0.1795890364698001,0.2754564770729603,0.09009208063233425,0.21252542208318223,0.3329989296109568,0.41107721874349806,0.1431929115551077,0.6931353404504289,0.8388847391499554,1.0,0.27068697021867666,-0.2791762133257182,0.27905633568390215,0.3419053134736102,0.5967629094068219,-0.2148542886427971,0.179882730581888,0.2732030964763004,0.3766317402317957,0.4261236830107115,0.42945614246681496,0.3139145679502088,0.3321021033113154,0.04358313101221008,0.48402294150388225
HAL,0.8108804211447638,0.8013008856413408,0.524201026532436,0.7439601279313911,0.938226521844751,0.2043170907106361,0.2673953675260169,0.7881836119461598,0.5216115263258101,0.8804889169298209,0.819647720635606,0.5640117098027657,0.37982841689470526,0.5385136422639696,0.5462249299285726,0.31388808409824853,0.7482047228648064,0.5209740264974303,0.1804911777725887,0.28965390611945435,0.27068697021867666,1.0,0.2674284570679652,0.7431943872472709,0.6781681268822891,0.37703584728564515,0.2018528195633645,0.7342609173350763,0.7940761898798029,0.8632201014229395,0.3559247192657051,0.833908837321802,0.5702655090986022,0.6304583053382256,0.28275362763797796,0.08533935852874434
SIRI,0.25202975962835017,0.08348864920275073,0.35431625205811396,-0.007410754701149484,0.2093484308079687,-0.05568286799562963,0.0580832209989501,0.26052950663406477,0.015573243774282052,0.1628413164165741,0.3003262319983959,0.17905966145605745,0.04092947098745501,0.09909540637243465,0.13540207328399617,-0.043257215043819526,-0.003696983076160453,0.07577125990453586,-0.2347346130023508,-0.2215743534968018,-0.2791762133257182,0.2674284570679652,1.0,0.19039543340847692,0.08049053318912336,-0.05535464472498571,0.1349851309494192,0.12734478909715802,0.20852129894057414,0.07684513150860664,-0.07500652824260151,0.0008221048635112342,-0.17702068449810107,0.14821098762203586,0.11039029529356764,-0.00887327166555726
COTY,0.6646216978405939,0.67012796955003,0.3232476288348815,0.5341408564461756,0.6841439682439875,0.08214376710769018,0.13350530980848088,0.6456217258028798,0.3258094119270599,0.6237927807740923,0.7561599374165152,0.659589509798429,0.1857889106442153,0.3953642259225185,0.4909848186890226,0.18546045530819122,0.4999617464770988,0.3542810237180019,0.2730451873555945,0.2926998150491352,0.27905633568390215,0.7431943872472709,0.19039543340847692,1.0,0.6136505278109027,0.4349170933248965,0.0919369687711852,0.531669015101585,0.7162187581030325,0.7704456147231794,0.27109358845662884,0.6722749233019544,0.6214724683050097,0.6399944828535226,0.2521504401072756,0.07069723401306413
AR,0.5053969147531258,0.6974144445148641,0.1863307702949513,0.6303841857798184,0.7267178243588277,0.0881440955552762,0.06872250294370917,0.6558618426426329,0.4334254794564474,0.7277802627308146,0.640662491423777,0.42250465375553664,0.0825927122147019,0.38059771375869933,0.289621717767551,0.2127954212883335,0.5455824781122012,0.47080793056704945,0.23486520399334268,0.328034010718521,0.3419053134736102,0.6781681268822891,0.08049053318912336,0.6136505278109027,1.0,0.3195272986780987,0.0678110663000243,0.6055228585163875,0.6730612462421991,0.6987332545301822,0.3940334318962182,0.6957533983238195,0.8160263899345651,0.3382677922124203,0.2550976678453203,0.23581353088254414
BB,0.37678316247897325,0.39143956329165247,0.1192694530578839,0.2387876982617259,0.308632939469551,0.0546810229587373,0.09349455734382935,0.4047571120002491,0.14473691375738923,0.44475275871403375,0.4221560683009126,0.3469320357730117,0.3246014186729288,0.14939356193715755,0.23670835849201308,0.4127270039200743,0.3246858070880056,0.2676682522278706,0.758789758281534,0.6941837300944194,0.5967629094068219,0.37703584728564515,-0.05535464472498571,0.4349170933248965,0.3195272986780987,1.0,0.12105863082568842,0.18862383889496262,0.3803025032881567,0.444514458645438,0.3084067028640613,0.32048660434266,0.3584474877589883,0.48807884390979517,0.13645135686729692,0.47075027964804195
GOLD,0.3628678949422532,0.07272333261728509,0.3333646606613026,0.282534189681519,0.24282873316420003,0.682059089795131,0.9156839100859483,0.42848792051189555,0.4010239416667,0.24630570726822534,0.12476883696518332,0.017506447903392758,0.025081417677149446,0.09003340132879895,0.18703826995495307,0.21286347017932003,0.39209925105386845,0.3930865895744827,0.1276819353505678,-0.08762769408147449,-0.2148542886427971,0.2018528195633645,0.1349851309494192,0.0919369687711852,0.0678110663000243,0.12105863082568842,1.0,0.3166192415714001,0.35400412037893303,0.07715349393116389,0.10493520567253628,0.031922359659901735,0.09251480407940833,0.1928115919444946,0.6542297359075043,-0.10317707356896662
BP,0.6930236767945128,0.6657421464356668,0.4555664855365232,0.6286661654592847,0.8247810122989641,0.3670089093156967,0.37524117988455336,0.7323488804763397,0.5129899342683706,0.7843674704900518,0.6821115325455503,0.48306122483274644,0.25851308380416727,0.46460175295579464,0.43075220747529913,0.16815853697181407,0.6568803675720825,0.5531964023131303,0.15513925097358974,0.1554713803244285,0.179882730581888,0.7342609173350763,0.12734478909715802,0.531669015101585,0.6055228585163875,0.18862383889496262,0.3166192415714001,1.0,0.592548778012311,0.7969139434236172,0.29513201426552804,0.6997547804922428,0.5280526858289637,0.43511456044651964,0.3679745885798034,0.11401071339643
ET,0.7946721602429859,0.72169440915126,0.5689652413348955,0.7007498381511438,0.8006972559008567,0.28210293205496056,0.3784733910555442,0.802500761099803,0.6624229580971864,0.7595783592722314,0.7781868841995783,0.44229003885558926,0.4787994584231186,0.4734690156480562,0.4736280261811871,0.27598269120476737,0.6994732645412881,0.6273821616116031,0.2576670972092132,0.38658478257988654,0.2732030964763004,0.7940761898798029,0.20852129894057414,0.7162187581030325,0.6730612462421991,0.3803025032881567,0.35400412037893303,0.592548778012311,1.0,0.7042713818243918,0.42301466510494035,0.7726948224316604,0.5800321740058377,0.6074279120827841,0.39135371532095836,0.03037495210083057
MRO,0.775399505481506,0.7754590718304415,0.4465086418164713,0.6871940393999028,0.8593249638195062,0.24152217681371885,0.19221236631343258,0.7375063675921932,0.45807321887254976,0.8789844991603656,0.8274790676762795,0.7422784732033922,0.3077657740221605,0.5032175585032088,0.4332914309959748,0.2615612940244791,0.681473870143142,0.43166186827917463,0.26234611281905634,0.36703433761780996,0.3766317402317957,0.8632201014229395,0.07684513150860664,0.7704456147231794,0.6987332545301822,0.444514458645438,0.07715349393116389,0.7969139434236172,0.7042713818243918,1.0,0.36433707033792123,0.8785030226909021,0.7010151690338422,0.602609284428104,0.2714698473613137,0.1392133602217131
SOFI,0.46638204048546933,0.456936181831019,0.2226028164267271,0.5044971118896905,0.3799897513233657,0.14570263783604492,0.19067007311036815,0.34898069617359123,0.5044458826059414,0.48702990254332035,0.5284239160465961,0.3242524622169674,0.11539181097190694,-0.1600401513489156,0.36222180803926035,0.5621515780546456,0.48207174986575996,0.4719907198196857,0.4476501809001924,0.5687557118570977,0.4261236830107115,0.3559247192657051,-0.07500652824260151,0.27109358845662884,0.3940334318962182,0.3084067028640613,0.10493520567253628,0.29513201426552804,0.42301466510494035,0.36433707033792123,1.0,0.34188862774893714,0.31847654497103345,0.2536507383152422,0.09974413970381843,0.1973448975753514
CDEV,0.7412801359166026,0.7097184325344063,0.3479584773485849,0.6965492199357664,0.8421006905402355,0.1320613570465686,0.09424682867160612,0.7004819020290131,0.49814749574623307,0.8208900484155165,0.7040982783002593,0.5189936169068988,0.4188556628774229,0.5746776853200012,0.3675124135357381,0.2181357507147196,0.6984909659256653,0.4789947104196515,0.15213716086302334,0.37592329035846084,0.42945614246681496,0.833908837321802,0.0008221048635112342,0.6722749233019544,0.6957533983238195,0.32048660434266,0.031922359659901735,0.6997547804922428,0.7726948224316604,0.8785030226909021,0.34188862774893714,1.0,0.7173154601805951,0.4953053690568825,0.2945132508556869,0.10457473246670065
RRC,0.4601230684076286,0.5438413030850141,-0.0016246495269667956,0.5090621297464663,0.6477064406437806,0.24400022114921777,0.1344815594551739,0.5768105176685712,0.3517241436248189,0.6853118406524574,0.5046833620190226,0.4386101432662526,-0.03123025723605839,0.32130411254636343,0.24506359384142812,0.211676321547787,0.4915359957088175,0.3608999121629707,0.26113451929201253,0.303225764177579,0.3139145679502088,0.5702655090986022,-0.17702068449810107,0.6214724683050097,0.8160263899345651,0.3584474877589883,0.09251480407940833,0.5280526858289637,0.5800321740058377,0.7010151690338422,0.31847654497103345,0.7173154601805951,1.0,0.3345784931535127,0.338680348449525,0.2795908873652782
NLY,0.6725323687787395,0.68444738367861,0.546515834313558,0.6007859480036308,0.6231414939923763,0.17794404658524177,0.21485459738710475,0.6841839341612468,0.4031180853964242,0.5555958532821457,0.679616402059464,0.3333401703709668,0.3365297238812652,0.3921393530288161,0.3107349163583965,0.07328926470844692,0.5593287541541418,0.22924226297632191,0.3965978696514234,0.2504642844697658,0.3321021033113154,0.6304583053382256,0.14821098762203586,0.6399944828535226,0.3382677922124203,0.48807884390979517,0.1928115919444946,0.43511456044651964,0.6074279120827841,0.602609284428104,0.2536507383152422,0.4953053690568825,0.3345784931535127,1.0,0.06878006540466887,0.23881196816635109
NOK,0.45335783009868036,0.24297555501190898,0.25987532722495443,0.2764427871095977,0.30008459875886273,0.3673438452585294,0.6403741445669816,0.34489078490571473,0.4401796955941843,0.3716707413737326,0.2029129513187013,0.2085532951912044,-0.004696409549825476,0.2732717718485387,0.27800161559710684,0.3973016554839485,0.34932989635985395,0.3364053188671695,0.13947226035348312,0.056008779459124865,0.04358313101221008,0.28275362763797796,0.11039029529356764,0.2521504401072756,0.2550976678453203,0.13645135686729692,0.6542297359075043,0.3679745885798034,0.39135371532095836,0.2714698473613137,0.09974413970381843,0.2945132508556869,0.338680348449525,0.06878006540466887,1.0,0.027666995349837263
SPCE,0.08570095564698774,0.17142516975037433,-0.23289589945740796,0.04431270327757466,0.10743781684183426,-0.07508474215856374,-0.11503978995922254,0.170019019484249,-0.07764426804346602,0.1692106864778891,0.17059382735304782,-0.06678369754073654,-0.08146601035469223,-0.16443350928412928,0.031587565693459455,0.12435450542924029,0.10114280769451235,0.00813971615469663,0.3983154358760749,0.33123281551192607,0.48402294150388225,0.08533935852874434,-0.00887327166555726,0.07069723401306413,0.23581353088254414,0.47075027964804195,-0.10317707356896662,0.11401071339643,0.03037495210083057,0.1392133602217131,0.1973448975753514,0.10457473246670065,0.2795908873652782,0.23881196816635109,0.027666995349837263,1.0
